artist,song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Kanye West,Moon,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351,audio_features,2Rd4eJ4KwXQQn2sMSToyUM,spotify:track:2Rd4eJ4KwXQQn2sMSToyUM,https://api.spotify.com/v1/tracks/2Rd4eJ4KwXQQn2sMSToyUM,https://api.spotify.com/v1/audio-analysis/2Rd4eJ4KwXQQn2sMSToyUM,156091,4
Lainey Wilson,Things A Man Oughta Know,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,audio_features,5QS8PNEWbqTEZyQ6e9ZbJf,spotify:track:5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/tracks/5QS8PNEWbqTEZyQ6e9ZbJf,https://api.spotify.com/v1/audio-analysis/5QS8PNEWbqTEZyQ6e9ZbJf,203373,4
Thomas Rhett,Country Again,0.467,0.481,2,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,audio_features,3CiF9D8iuVhZWDvvjf8HpG,spotify:track:3CiF9D8iuVhZWDvvjf8HpG,https://api.spotify.com/v1/tracks/3CiF9D8iuVhZWDvvjf8HpG,https://api.spotify.com/v1/audio-analysis/3CiF9D8iuVhZWDvvjf8HpG,221240,4
Ryan Hurd With Maren Morris,Chasing After You,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,audio_features,1ZIKpMTRPqhwAoVXWY3tXI,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/tracks/1ZIKpMTRPqhwAoVXWY3tXI,https://api.spotify.com/v1/audio-analysis/1ZIKpMTRPqhwAoVXWY3tXI,207974,4
Duncan Laurence,Arcade,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3
Lizzo Featuring Cardi B,Rumors,0.827,0.731,4,-5.524,0,0.088,0.13,0.0,0.418,0.607,118.992,audio_features,6KgtcmCF9Ky68XC7ezxl3s,spotify:track:6KgtcmCF9Ky68XC7ezxl3s,https://api.spotify.com/v1/tracks/6KgtcmCF9Ky68XC7ezxl3s,https://api.spotify.com/v1/audio-analysis/6KgtcmCF9Ky68XC7ezxl3s,172833,4
Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name,0.581,0.86,7,-4.092,1,0.039,0.048,0.0,0.169,0.79,148.318,audio_features,3dV1fjKOlLnaNK5MeZHXGv,spotify:track:3dV1fjKOlLnaNK5MeZHXGv,https://api.spotify.com/v1/tracks/3dV1fjKOlLnaNK5MeZHXGv,https://api.spotify.com/v1/audio-analysis/3dV1fjKOlLnaNK5MeZHXGv,210480,4
Megan Thee Stallion,Thot Shit,0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,130.02,audio_features,5zNW5ARjYhJQJz1AChP33n,spotify:track:5zNW5ARjYhJQJz1AChP33n,https://api.spotify.com/v1/tracks/5zNW5ARjYhJQJz1AChP33n,https://api.spotify.com/v1/audio-analysis/5zNW5ARjYhJQJz1AChP33n,184635,4
Kanye West,Jail,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,audio_features,42ZrMq4BKsWDrrbMnMRYaK,spotify:track:42ZrMq4BKsWDrrbMnMRYaK,https://api.spotify.com/v1/tracks/42ZrMq4BKsWDrrbMnMRYaK,https://api.spotify.com/v1/audio-analysis/42ZrMq4BKsWDrrbMnMRYaK,297000,4
Roddy Ricch,Late At Night,0.643,0.403,1,-11.254,0,0.41,0.343,0.0,0.138,0.111,98.54,audio_features,1fxYz1s15pyZLsJT0Hdh1m,spotify:track:1fxYz1s15pyZLsJT0Hdh1m,https://api.spotify.com/v1/tracks/1fxYz1s15pyZLsJT0Hdh1m,https://api.spotify.com/v1/audio-analysis/1fxYz1s15pyZLsJT0Hdh1m,174682,4
Tai Verdes,A-O-K,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488,audio_features,1sx0XsWUusUoPstbvokZjP,spotify:track:1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/tracks/1sx0XsWUusUoPstbvokZjP,https://api.spotify.com/v1/audio-analysis/1sx0XsWUusUoPstbvokZjP,173640,4
Old Dominion,I Was On A Boat That Day,0.535,0.915,11,-3.819,1,0.0991,0.00699,0.0,0.224,0.731,140.13,audio_features,1nnsiuuYlvPF9gxXIiyAr8,spotify:track:1nnsiuuYlvPF9gxXIiyAr8,https://api.spotify.com/v1/tracks/1nnsiuuYlvPF9gxXIiyAr8,https://api.spotify.com/v1/audio-analysis/1nnsiuuYlvPF9gxXIiyAr8,178613,4
Moneybagg Yo,Wockesha,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,audio_features,0nqhKXDjsyBMvbeWmgijD0,spotify:track:0nqhKXDjsyBMvbeWmgijD0,https://api.spotify.com/v1/tracks/0nqhKXDjsyBMvbeWmgijD0,https://api.spotify.com/v1/audio-analysis/0nqhKXDjsyBMvbeWmgijD0,180930,4
Meek Mill Featuring Lil Baby & Lil Durk,Sharing Locations,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951,audio_features,3J4VKkUpLvomXJbn9ZAypO,spotify:track:3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/tracks/3J4VKkUpLvomXJbn9ZAypO,https://api.spotify.com/v1/audio-analysis/3J4VKkUpLvomXJbn9ZAypO,161053,4
DJ Khaled Featuring Lil Baby & Lil Durk,Every Chance I Get,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,audio_features,1EJIcDYXwSqipW5dFe4uJz,spotify:track:1EJIcDYXwSqipW5dFe4uJz,https://api.spotify.com/v1/tracks/1EJIcDYXwSqipW5dFe4uJz,https://api.spotify.com/v1/audio-analysis/1EJIcDYXwSqipW5dFe4uJz,236524,4
Kanye West,Ok Ok,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,audio_features,4VYEnxm7lmtG5sEEbcmORB,spotify:track:4VYEnxm7lmtG5sEEbcmORB,https://api.spotify.com/v1/tracks/4VYEnxm7lmtG5sEEbcmORB,https://api.spotify.com/v1/audio-analysis/4VYEnxm7lmtG5sEEbcmORB,204630,5
Kanye West,Praise God,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,audio_features,0Zm7NKJgoKY6ZWwtoEUILK,spotify:track:0Zm7NKJgoKY6ZWwtoEUILK,https://api.spotify.com/v1/tracks/0Zm7NKJgoKY6ZWwtoEUILK,https://api.spotify.com/v1/audio-analysis/0Zm7NKJgoKY6ZWwtoEUILK,226653,4
Silk Sonic (Bruno Mars & Anderson .Paak),Skate,0.715,0.628,5,-8.268,1,0.0318,0.044,0.0,0.117,0.779,111.982,audio_features,2sXf2JdbB2GlNju00kw9WE,spotify:track:2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/tracks/2sXf2JdbB2GlNju00kw9WE,https://api.spotify.com/v1/audio-analysis/2sXf2JdbB2GlNju00kw9WE,203123,4
BIA Featuring Nicki Minaj,Whole Lotta Money,0.893,0.463,1,-5.301,1,0.36,0.199,0.0,0.318,0.591,81.026,audio_features,67G6iaOw8DZqp1z8STR89R,spotify:track:67G6iaOw8DZqp1z8STR89R,https://api.spotify.com/v1/tracks/67G6iaOw8DZqp1z8STR89R,https://api.spotify.com/v1/audio-analysis/67G6iaOw8DZqp1z8STR89R,229601,4
Dua Lipa,Love Again,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,audio_features,1imMjt1YGNebtrtTAprKV7,spotify:track:1imMjt1YGNebtrtTAprKV7,https://api.spotify.com/v1/tracks/1imMjt1YGNebtrtTAprKV7,https://api.spotify.com/v1/audio-analysis/1imMjt1YGNebtrtTAprKV7,258004,4
Lee Brice,Memory I Don't Mess With,0.617,0.704,6,-7.61,0,0.0258,0.171,0.0,0.0924,0.57,91.541,audio_features,7BQE1P0NUalHSvFtrxasx9,spotify:track:7BQE1P0NUalHSvFtrxasx9,https://api.spotify.com/v1/tracks/7BQE1P0NUalHSvFtrxasx9,https://api.spotify.com/v1/audio-analysis/7BQE1P0NUalHSvFtrxasx9,180617,4
Chase Rice Featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.,0.627,0.678,2,-4.691,1,0.0294,0.185,0.0,0.374,0.724,100.032,audio_features,1UYfAU2bwgjaM5rIIPQleC,spotify:track:1UYfAU2bwgjaM5rIIPQleC,https://api.spotify.com/v1/tracks/1UYfAU2bwgjaM5rIIPQleC,https://api.spotify.com/v1/audio-analysis/1UYfAU2bwgjaM5rIIPQleC,160839,4
Scotty McCreery,You Time,0.55,0.767,9,-6.281,1,0.0248,0.00141,3.07e-06,0.143,0.601,104.016,audio_features,0pJalGEYsRikSogLkXU6KV,spotify:track:0pJalGEYsRikSogLkXU6KV,https://api.spotify.com/v1/tracks/0pJalGEYsRikSogLkXU6KV,https://api.spotify.com/v1/audio-analysis/0pJalGEYsRikSogLkXU6KV,192027,3
Rauw Alejandro,Todo de Ti,0.78,0.718,3,-3.605,0,0.0506,0.31,0.000163,0.0932,0.342,127.949,audio_features,4fSIb4hdOQ151TILNsSEaF,spotify:track:4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/tracks/4fSIb4hdOQ151TILNsSEaF,https://api.spotify.com/v1/audio-analysis/4fSIb4hdOQ151TILNsSEaF,199604,4
Jordan Davis Featuring Luke Bryan,Buy Dirt,0.586,0.559,4,-6.725,1,0.05,0.639,0.0,0.0872,0.437,177.945,audio_features,69AIpwGNLxr4qS1X5ynx60,spotify:track:69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/tracks/69AIpwGNLxr4qS1X5ynx60,https://api.spotify.com/v1/audio-analysis/69AIpwGNLxr4qS1X5ynx60,167480,4
Sleepy Hallow,2055,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,audio_features,4XvcHTUfIlWfyJTRG0aqlo,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,123987,4
Luke Combs,Cold As You,0.598,0.846,6,-4.956,1,0.0355,0.0527,0.0,0.113,0.328,144.04,audio_features,7IWV29mryrqtO0JVgnPtfv,spotify:track:7IWV29mryrqtO0JVgnPtfv,https://api.spotify.com/v1/tracks/7IWV29mryrqtO0JVgnPtfv,https://api.spotify.com/v1/audio-analysis/7IWV29mryrqtO0JVgnPtfv,186107,4
Aventura x Bad Bunny,Volvi,0.725,0.86,1,-3.726,1,0.182,0.422,0.000284,0.0674,0.791,175.896,audio_features,2vmfvSoZBFAt9hhRoEByLi,spotify:track:2vmfvSoZBFAt9hhRoEByLi,https://api.spotify.com/v1/tracks/2vmfvSoZBFAt9hhRoEByLi,https://api.spotify.com/v1/audio-analysis/2vmfvSoZBFAt9hhRoEByLi,230125,4
Kanye West,Junya,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,148.07,audio_features,1aF9TeHZbe6OVo9dtjPuzK,spotify:track:1aF9TeHZbe6OVo9dtjPuzK,https://api.spotify.com/v1/tracks/1aF9TeHZbe6OVo9dtjPuzK,https://api.spotify.com/v1/audio-analysis/1aF9TeHZbe6OVo9dtjPuzK,147669,4
Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,audio_features,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/tracks/0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626,4
Doja Cat,Woman,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4
Justin Moore,We Didn't Have Much,0.469,0.673,6,-8.015,1,0.0337,0.418,1.41e-05,0.119,0.578,175.954,audio_features,0Iuw6WPws324i7G7sCejTX,spotify:track:0Iuw6WPws324i7G7sCejTX,https://api.spotify.com/v1/tracks/0Iuw6WPws324i7G7sCejTX,https://api.spotify.com/v1/audio-analysis/0Iuw6WPws324i7G7sCejTX,174838,4
Capella Grey,Gyalis,0.666,0.643,8,-7.01,1,0.423,0.386,0.0,0.283,0.756,96.375,audio_features,7wpyrkjEgz7W1vNYDxMKrF,spotify:track:7wpyrkjEgz7W1vNYDxMKrF,https://api.spotify.com/v1/tracks/7wpyrkjEgz7W1vNYDxMKrF,https://api.spotify.com/v1/audio-analysis/7wpyrkjEgz7W1vNYDxMKrF,105377,4
Normani Featuring Cardi B,Wild Side,0.74,0.576,6,-6.744,0,0.146,0.0249,0.0,0.104,0.315,110.095,audio_features,2vXgyN14LX2zl7JEASw242,spotify:track:2vXgyN14LX2zl7JEASw242,https://api.spotify.com/v1/tracks/2vXgyN14LX2zl7JEASw242,https://api.spotify.com/v1/audio-analysis/2vXgyN14LX2zl7JEASw242,209476,4
Bad Bunny,Yonaguni,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,audio_features,2JPLbjOn0wPCngEot2STUS,spotify:track:2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,https://api.spotify.com/v1/audio-analysis/2JPLbjOn0wPCngEot2STUS,206710,4
Kanye West,Believe What I Say,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,audio_features,73uxnSsFMeJ15POpd3zgrV,spotify:track:73uxnSsFMeJ15POpd3zgrV,https://api.spotify.com/v1/tracks/73uxnSsFMeJ15POpd3zgrV,https://api.spotify.com/v1/audio-analysis/73uxnSsFMeJ15POpd3zgrV,242400,4
Kane Brown X blackbear,Memory,0.434,0.889,9,-5.684,1,0.0509,0.395,0.0,0.273,0.845,113.326,audio_features,34chhNX59Wo9HMFCsI3K8Y,spotify:track:34chhNX59Wo9HMFCsI3K8Y,https://api.spotify.com/v1/tracks/34chhNX59Wo9HMFCsI3K8Y,https://api.spotify.com/v1/audio-analysis/34chhNX59Wo9HMFCsI3K8Y,153338,5
Meek Mill Featuring Lil Uzi Vert,Blue Note$ II,0.292,0.308,5,-13.205,0,0.044,0.982,0.852,0.111,0.176,124.757,audio_features,7aHHvaojmXmlIoATh7BFcK,spotify:track:7aHHvaojmXmlIoATh7BFcK,https://api.spotify.com/v1/tracks/7aHHvaojmXmlIoATh7BFcK,https://api.spotify.com/v1/audio-analysis/7aHHvaojmXmlIoATh7BFcK,71499,4
Doja Cat,Get Into It (Yuh),0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,audio_features,0W6I02J9xcqK8MtSeosEXb,spotify:track:0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/tracks/0W6I02J9xcqK8MtSeosEXb,https://api.spotify.com/v1/audio-analysis/0W6I02J9xcqK8MtSeosEXb,138293,4
Elvie Shane,My Boy,0.686,0.566,9,-5.977,1,0.0423,0.254,0.0,0.11,0.542,146.042,audio_features,0PjXFoTUNltAvf4IN0N3Xx,spotify:track:0PjXFoTUNltAvf4IN0N3Xx,https://api.spotify.com/v1/tracks/0PjXFoTUNltAvf4IN0N3Xx,https://api.spotify.com/v1/audio-analysis/0PjXFoTUNltAvf4IN0N3Xx,203381,4
Cole Swindell,Single Saturday Night,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,audio_features,1irAliF0T8sLIOPJp6n7rU,spotify:track:1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/tracks/1irAliF0T8sLIOPJp6n7rU,https://api.spotify.com/v1/audio-analysis/1irAliF0T8sLIOPJp6n7rU,187684,4
Kanye West,Jonah,0.459,0.431,9,-8.375,0,0.256,0.795,0.0,0.274,0.128,177.3,audio_features,3gWzTnziivUYzqXtnvgN8q,spotify:track:3gWzTnziivUYzqXtnvgN8q,https://api.spotify.com/v1/tracks/3gWzTnziivUYzqXtnvgN8q,https://api.spotify.com/v1/audio-analysis/3gWzTnziivUYzqXtnvgN8q,195170,4
Chris Stapleton,You Should Probably Leave,0.602,0.477,9,-8.425,1,0.032,0.268,3.1e-05,0.173,0.552,183.89,audio_features,2UikqkwBv7aIvlixeVXHWt,spotify:track:2UikqkwBv7aIvlixeVXHWt,https://api.spotify.com/v1/tracks/2UikqkwBv7aIvlixeVXHWt,https://api.spotify.com/v1/audio-analysis/2UikqkwBv7aIvlixeVXHWt,213493,4
Camila Cabello,Don't Go Yet,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108,audio_features,1058fW9H3fZA6QjYCdOBad,spotify:track:1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad,https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad,164842,4
Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,audio_features,7DhvNzyMM8jJWcfykG3psB,spotify:track:7DhvNzyMM8jJWcfykG3psB,https://api.spotify.com/v1/tracks/7DhvNzyMM8jJWcfykG3psB,https://api.spotify.com/v1/audio-analysis/7DhvNzyMM8jJWcfykG3psB,170560,4
Kanye West,Jesus Lord,0.477,0.713,1,-6.805,1,0.126,0.0984,0.00844,0.0879,0.113,106.137,audio_features,56JwgcQcxo08w7YXrBzrA5,spotify:track:56JwgcQcxo08w7YXrBzrA5,https://api.spotify.com/v1/tracks/56JwgcQcxo08w7YXrBzrA5,https://api.spotify.com/v1/audio-analysis/56JwgcQcxo08w7YXrBzrA5,538537,5
Shawn Mendes & Tainy,Summer Of Love,0.776,0.808,11,-4.501,1,0.117,0.0297,0.000127,0.103,0.494,123.988,audio_features,0z8hI3OPS8ADPWtoCjjLl6,spotify:track:0z8hI3OPS8ADPWtoCjjLl6,https://api.spotify.com/v1/tracks/0z8hI3OPS8ADPWtoCjjLl6,https://api.spotify.com/v1/audio-analysis/0z8hI3OPS8ADPWtoCjjLl6,184104,4
Doja Cat,Ain't Shit,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097,audio_features,5lAnYvAIkSDNXqfo7DyFUm,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,https://api.spotify.com/v1/tracks/5lAnYvAIkSDNXqfo7DyFUm,https://api.spotify.com/v1/audio-analysis/5lAnYvAIkSDNXqfo7DyFUm,174253,4
Post Malone,Motley Crew,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,audio_features,40uMIn2zJLAQhNXghRjBed,spotify:track:40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/tracks/40uMIn2zJLAQhNXghRjBed,https://api.spotify.com/v1/audio-analysis/40uMIn2zJLAQhNXghRjBed,184213,4
Kanye West,Remote Control,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,110.105,audio_features,3SYLoL8KHxdQPYIkfwmUjN,spotify:track:3SYLoL8KHxdQPYIkfwmUjN,https://api.spotify.com/v1/tracks/3SYLoL8KHxdQPYIkfwmUjN,https://api.spotify.com/v1/audio-analysis/3SYLoL8KHxdQPYIkfwmUjN,198614,4
"Yung Bleu, Chris Brown & 2 Chainz",Baddest,0.712,0.703,4,-6.174,0,0.199,0.0287,0.0,0.13,0.452,89.024,audio_features,2CDVqsGGkf2v1tMETt3fq5,spotify:track:2CDVqsGGkf2v1tMETt3fq5,https://api.spotify.com/v1/tracks/2CDVqsGGkf2v1tMETt3fq5,https://api.spotify.com/v1/audio-analysis/2CDVqsGGkf2v1tMETt3fq5,202247,4
